iteration: 237000, loss: 0.969554
----
(66, 1200)
(0, -2)
(0, -1)
(54, 0)
(69, 80)
(66, 960)
(0, -2)
(0, -1)
(44, 0)
(79, 226)
(62, 210)
(73, 80)
(0, -2)
(0, -1)
(69, 120)
(66, 240)
(0, -2)
(0, -1)
(71, 120)
(75, 80)
(54, 240)
(0, -2)
(51, 40)
(0, -1)
(68, 0)
(51, 0)
(41, 0)
(73, 480)
(84, 197)
(0, -2)
(0, -1)
(56, 80)
(68, 80)
(0, -2)
(0, -1)
(51, 0)
(72, 0)
(44, 34)
(75, 157)
(0, -2)
(0, -1)
(52, 0)
(77, 80)
(49, 40)
(63, 108)
(61, 140)
(51, 16)
(72, 60)
(49, 184)
(0, -1)
(61, 140)
(66, 240)
(0, -2)
(0, -1)
(68, 120)
(75, 120)
(64, 480)
(0, -2)
(0, -1)
(43, 0)
(68, 120)
(61, 120)
(0, -2)
(60, 120)
(0, -1)
(74, 0)
(70, 240)
(37, 540)
(0, -2)
(0, -1)
(63, 120)
(78, 1440)
(0, -2)
(65, 80)
(0, -1)
(65, 0)
(72, 0)
(80, 0)
(64, 80)
(80, 0)
(0, -2)
(0, -1)
(80, 280)
(72, 80)
(0, -2)
(0, -1)
(41, 0)
(65, 40)
(0, -2)
(0, -1)
(64, 40)
(71, 80)
(0, -2)
(0, -1)
(71, 120)
(80, 213)
(0, -2)
(0, -1)
(71, 120)
(71, 120)
(0, -2)
(0, -1)
(71, 120)
(68, 120)
(0, -2)
(60, 240)
(0, -1)
(72, 0)
(75, 0)
(72, 40)
(65, 720)
(0, -2)
(0, -1)
(57, 0)
(71, 0)
(58, 0)
(60, 80)
(60, 0)
(69, 120)
(63, 0)
(48, 0)
(68, 0)
(60, 80)
(63, 80)
(0, -2)
(0, -1)
(51, 80)
(68, 80)
(0, -2)
(68, 240)
(80, 120)
(0, -1)
(68, 0)
(56, 0)
(75, 0)
(60, 80)
(63, 80)
(0, -2)
(0, -1)
(41, 0)
(39, 80)
(51, 20)
(0, -2)
(0, -1)
(72, 80)
(64, 120)
(0, -2)
(0, -1)
(52, 0)
(73, 0)
(55, 80)
(67, 80)
(0, -2)
(0, -1)
(51, 80)
(70, 80)
(0, -2)
(0, -1)
(61, 0)
(77, 0)
(32, 0)
(81, 0)
(43, 40)
(74, 240)
(0, -1)
(75, 0)
(61, 0)
(75, 480)
(80, 40)
(0, -2)
(0, -1)
(61, 80)
(63, 80)
(0, -2)
(0, -1)
(56, 40)
(73, 0)
(0, -2)
(0, -1)
(55, 40)
(72, 40)
(0, -2)
(0, -1)
(51, 80)
(73, 40)
(0, -2)
(0, -1)
(51, 0)
(73, 0)
(56, 40)
(72, 40)
(0, -2)
(0, -1)
(61, 80)
(63, 80)
(0, -2)
(0, -1)
(56, 80)
(68, 80)
(0, -2)
(0, -1)
(51, 0)
(72, 0)
(44, 34)
(60, 80)
(0, -2)
(0, -1)
(51, 80)
(70, 80)
(0, -2)
(0, -1)
(61, 0)
(77, 0)
(39, 23)
(68, 80)
(0, -2)
(0, -1)
(61, 0)
(63, 0)
(39, 49)
(68, 40)
(0, -2)
(0, -1)
(53, 0)
(71, 0)
(66, 120)
(80, 245)
(0, -2)
(0, -1)
(53, 80)
(72, 80)
(0, -2)
(0, -1)
(55, 40)
(60, 40)
(0, -2)
(0, -1)
(56, 40)
(68, 40)
(0, -2)
(0, -1)
(61, 80)
(50, 0)
(0, -2)
(0, -1)
(55, 80)
(75, 40)
(0, -2)
(0, -1)
(51, 40)
(72, 340)
(0, -2)
(0, -1)
(72, 80)
(84, 80)
(0, -2)
(0, -1)
(44, 194)
(69, 120)
(46, 40)
(0, -2)
(0, -1)
(57, 40)
(87, 80)
(0, -2)
(0, -1)
(63, 80)
(72, 40)
(0, -2)
(0, -1)
(51, 40)
(73, 40)
(0, -2)
(0, -1)
(60, 80)
(84, 80)
(0, -2)
(0, -1)
(51, 80)
(73, 80)
(0, -2)
(0, -1)
(51, 0)
(75, 0)
(44, 0)
(51, 0)
(68, 0)
(56, 0)
(72, 0)
(53, 0)
(63, 0)
(56, 40)
(51, 16)
(48, 49)
(0, -2)
(0, -1)
(51, 0)
(68, 0)
(56, 0)
(68, 0)
(51, 0)
(75, 0)
(56, 0)
(71, 0)
(73, 180)
(32, 80)
(0, -2)
(0, -1)
(55, 0)
(72, 0)
(60, 0)
(61, 80)
(58, 0)
(67, 0)
(51, 0)
(72, 0)
(56, 0)
(68, 0)
(63, 80)
(64, 80)
(0, -2)
(0, -1)
(68, 40)
(68, 40)
(0, -2)
(0, -1)
(56, 0)
(72, 0)
(60, 0)
(63, 80)
(32, 40)
(0, -2)
(65, 80)
(0, -1)
(68, 0)
(60, 80)
(68, 40)
(0, -2)
(84, 0)
(60, 0)
(0, -1)
(72, 0)
(60, 0)
(63, 0)
(80, 0)
(68, 240)
(72, 40)
(60, 0)
(0, -1)
(53, 0)
(76, 40)
(48, 40)
(75, 80)
(0, -2)
